Tempo;Erro Little 60;Erro Little 80;Erro Little 95;Erro Little 99
29800;-4,62223659348E-09;-2,374737340105E-08;1,0279292439463E-07;1,0931694305327E-07
29900;-9,51858680764E-09;-1,579952924047E-08;1,1046666514858E-07;1,111247343033E-07
30000;-2,002912902199E-08;-1,775770464008E-08;1,1862201887425E-07;1,2344207789283E-07
30100;-2,233553653141E-08;-1,233094959474E-08;1,3691505529323E-07;1,1594177351526E-07
30200;-3,450139951511E-08;-2,937661802704E-08;1,4739640263883E-07;1,2995339204736E-07
30300;-1,676897332104E-08;-3,464266784547E-08;1,5542364195653E-07;1,4647201851403E-07
30400;-5,34362154525E-09;-4,405962128473E-08;1,4025699712761E-07;1,5630227778729E-07
30500;-5,86200998853E-09;-4,240947060197E-08;1,501613375865E-07;1,5529882091414E-07
30600;-1,136946026215E-08;-3,033406281716E-08;1,5050343193934E-07;1,5804597808255E-07
30700;1,49421297557E-09;-4,064841263585E-08;1,4453560837069E-07;1,7725602674545E-07
