Tempo;Ocupação;E[N];E[W];Erro Little;Lambda;E[N] Chamada;E[W] Chamada;Erro Little Chamada
14800;0,967722;57927,359354;280,920388;-0,00000004963626665244;206,205608;30421,151865;286,299245;0,00000005820867698958
14900;0,967938;58134,893454;282,075243;-0,00000005496276500594;206,097114;30468,578034;287,004928;0,00000006044766109881
15000;0,968152;58287,427733;283,046233;-0,00000004141391229950;205,929000;30502,871314;287,773977;0,00000005943283731824
15100;0,968363;58421,850376;283,437473;-0,00000004285461230324;206,119007;30558,121513;287,783789;0,00000006142189867830
15200;0,968571;58576,918477;283,803714;-0,00000004232195038867;206,399408;30642,246834;287,797430;0,00000006626084037009
15300;0,968776;58740,097727;284,595029;-0,00000006224628990026;206,398889;30736,861607;288,681667;0,00000007828904990959
15400;0,968979;58890,125868;285,240240;-0,00000006100410843146;206,457987;30836,025003;289,435315;0,00000007963538806166
15500;0,969180;59047,010480;286,040332;-0,00000005880356468424;206,428968;30932,555311;290,429463;0,00000008439502963142
15600;0,969377;59208,685944;287,129262;-0,00000005784164969214;206,209167;31018,636065;291,809648;0,00000008126730044467
15700;0,969572;59335,117843;287,664454;-0,00000004991506941110;206,265032;31064,356415;292,093051;0,00000008186644606667
15800;0,969765;59488,074727;288,470936;-0,00000002941121124422;206,218608;31137,079759;292,904294;0,00000007675505919735
15900;0,969955;59618,161787;289,453976;-0,00000003168159068423;205,967673;31184,669938;294,088908;0,00000007075484198538
16000;0,970143;59718,192449;290,128723;-0,00000002045375779858;205,833438;31206,322742;294,662139;0,00000005771904376672
16100;0,970328;59794,840122;290,680245;-0,00000001075495958958;205,706584;31228,098834;295,195755;0,00000005124415025648
16200;0,970511;59864,861093;291,263848;-0,00000001228821844279;205,534815;31228,087803;295,660039;0,00000004875812464888
16300;0,970692;59916,358811;291,350516;-0,00000000891216345167;205,650429;31234,656778;295,393860;0,00000004790685892431
16400;0,970871;59971,693342;291,294325;-0,00000000213150386230;205,880061;31260,280700;294,971090;0,00000004598716252247
16500;0,971047;60019,430489;291,874517;0,00000000722970128209;205,634364;31288,262985;295,947611;0,00000005099391131580
16600;0,971222;60037,155869;292,418715;0,00000001995218923412;205,312289;31290,339285;296,869405;0,00000005509803990833
16700;0,971394;60042,721178;292,351879;0,00000001742504451840;205,378263;31273,976199;296,550586;0,00000004902763173220
16800;0,971564;60042,972761;292,894931;0,00000001495985557654;204,998333;31241,524486;297,338586;0,00000004877370862744
16900;0,971733;59988,312795;292,929287;0,00000001976416186267;204,787692;31178,586221;297,324290;0,00000004541143461267
17000;0,971899;59906,679771;292,831435;0,00000001021885864816;204,577353;31099,503575;297,167984;0,00000004742199166685
17100;0,972063;59803,925556;292,313344;0,00000000998727855972;204,588421;31026,631406;296,481154;0,00000005124040391991
17200;0,972226;59658,644737;292,042080;0,00000002194767390051;204,280988;30934,019180;296,477383;0,00000004700922495715
